sort,proddesc,batch,GL_reviewed,label_filename,label_completed(1=yes),URL,Link,Reference,publication_id,title,year,scale,north,south,east,west,series,authors
4856,6586,1,yes,USGS_MF-1178-A_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_6586.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_6586.htm,"Pratt, W.P., and Erickson, R.L., 1982, Geologic, geochemical, and geophysical maps of the Bell Mountain Wilderness Study area, Iron County, Missouri: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1178-A, scale 1:24,000.",6586,"Geologic, geochemical, and geophysical maps of the Bell Mountain Wilderness Study area, Iron County, Missouri",1982,24000,37.75,37.5,-90.75,-91,Miscellaneous Field Studies Map MF-1178-A,"Pratt, W.P.; Erickson, R.L."
4750,21594,1,yes,USGS_B-1506-A-E_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21594.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21594.htm,"Evans, J.G., Pankratz, Leroy, Ridenour, James, Schmauch, S.W., and Zilka, N.T., 1982, Mineral resources of the Sheep Mountain Wilderness study area and the Cucamonga Wilderness and additions, Los Angeles and San Bernardino Counties, California: U.S. Geological Survey, Bulletin 1506-A-E, scale 1:48,000.",21594,"Mineral resources of the Sheep Mountain Wilderness study area and the Cucamonga Wilderness and additions, Los Angeles and San Bernardino Counties, California",1982,48000,34.392,34.192,-117.542,-117.85,Bulletin 1506-A-E,"Evans, J.G.; Pankratz, Leroy; Ridenour, James; Schmauch, S.W.; Zilka, N.T."
4751,21601,1,yes,USGS_B-1515_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21601.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21601.htm,"Lesure, F.G., Grosz, A.E., Williams, B.B., and Gazdik, G.C., 1982, Mineral resources of the Craggy Mountain Wilderness Study Area and extension, Buncombe County, North Carolina: U.S. Geological Survey, Bulletin 1515, scale 1:24,000.",21601,"Mineral resources of the Craggy Mountain Wilderness Study Area and extension, Buncombe County, North Carolina",1982,24000,35.75,35.693,-82.35,-82.417,Bulletin 1515,"Lesure, F.G.; Grosz, A.E.; Williams, B.B.; Gazdik, G.C."
4755,21838,1,yes,USGS_B-1701-C_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21838.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21838.htm,"DeWitt, Ed, Richard, S.M., Hassemer, J.R., Hanna, W.F., and Thompson, J.R., 1988, Mineral resources of the Harquahala Mountains Wilderness Study Area, La Paz and Maricopa Counties, Arizona: U.S. Geological Survey, Bulletin 1701-C, scale 1:24,000.",21838,"Mineral resources of the Harquahala Mountains Wilderness Study Area, La Paz and Maricopa Counties, Arizona",1988,24000,33.896,33.771,-113.208,-113.417,Bulletin 1701-C,"DeWitt, Ed; Richard, S.M.; Hassemer, J.R.; Hanna, W.F.; Thompson, J.R."
4756,21840,1,yes,USGS_B-1701-F_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21840.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21840.htm,"Drewes, Harald, DeWitt, Ed, Hill, R.H., Hanna, W.F., Knepper, D.H., Jr., Tuftin, S.E., Reynolds, S.J., Spencer, J.E., and Azam, Sarwar, 1990, Mineral resources of the Harcuvar Mountains Wilderness Study Area, La Paz County, Arizona: U.S. Geological Survey, Bulletin 1701-F, scale 1:50,000.",21840,"Mineral resources of the Harcuvar Mountains Wilderness Study Area, La Paz County, Arizona",1990,50000,34.1,33.9,-113.292,-113.542,Bulletin 1701-F,"Drewes, Harald; DeWitt, Ed; Hill, R.H.; Hanna, W.F.; Knepper, D.H., Jr.; Tuftin, S.E.; Reynolds, S.J.; Spencer, J.E.; Azam, Sarwar"
4757,21844,1,yes,USGS_B-1703-B_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21844.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21844.htm,"Simons, F.S., Theobald, P.K., Tidball, R.R., Erdman, J.A., Harms, T.F., Griscom, Andrew, and Ryan, G.S., 1987, Mineral resources of the Needles Eye Wilderness Study Area, Gila County, Arizona: U.S. Geological Survey, Bulletin 1703-B, scale 1:24,000.",21844,"Mineral resources of the Needles Eye Wilderness Study Area, Gila County, Arizona",1987,24000,33.175,33.083,-110.542,-110.7,Bulletin 1703-B,"Simons, F.S.; Theobald, P.K.; Tidball, R.R.; Erdman, J.A.; Harms, T.F.; Griscom, Andrew; Ryan, G.S."
4758,21845,1,yes,USGS_B-1703-C_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21845.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21845.htm,"Simons, F.S., Theobald, P.K., Tidball, R.R., Erdman, J.A., Harms, T.F., Griscom, Andrew, and Ryan, G.S., 1987, Mineral resources of the Black Rock Wilderness Study Area, Graham County, Arizona: U.S. Geological Survey, Bulletin 1703-C, scale 1:24,000.",21845,"Mineral resources of the Black Rock Wilderness Study Area, Graham County, Arizona",1987,24000,32.958,32.842,-110.117,-110.217,Bulletin 1703-C,"Simons, F.S.; Theobald, P.K.; Tidball, R.R.; Erdman, J.A.; Harms, T.F.; Griscom, Andrew; Ryan, G.S."
4760,21849,1,yes,USGS_B-1706-C_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21849.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21849.htm,"Diggles, M.F., Frisken, J.G., Plouff, Donald, Munts, S.R., and Peters, T.J., 1988, Mineral resources of the Skedaddle Mountain Wilderness Study Area, Lassen County, California, and Washoe County, Nevada: U.S. Geological Survey, Bulletin 1706-C, scale 1:48,000.",21849,"Mineral resources of the Skedaddle Mountain Wilderness Study Area, Lassen County, California, and Washoe County, Nevada",1988,48000,40.45,40.267,-119.983,-120.2,Bulletin 1706-C,"Diggles, M.F.; Frisken, J.G.; Plouff, Donald; Munts, S.R.; Peters, T.J."
4761,21855,1,yes,USGS_B-1708-C_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21855.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21855.htm,"Diggles, M.F., Cox, B.F., Tucker, R.E., and Gaps, R.S., 1985, Mineral resources of the El Paso Mountains Wilderness Study Area, Kern County, California: U.S. Geological Survey, Bulletin 1708-C, scale 1:24,000.",21855,"Mineral resources of the El Paso Mountains Wilderness Study Area, Kern County, California",1985,24000,35.575,35.45,-117.792,-117.908,Bulletin 1708-C,"Diggles, M.F.; Cox, B.F.; Tucker, R.E.; Gaps, R.S."
4762,21856,1,yes,USGS_B-1708-D_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21856.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21856.htm,"Diggles, M.F., Tucker, R.E., Clemens, D.E., and Gaps, R.S., 1985, Mineral resources of the Golden Valley Wilderness Study Area, San Bernardino County, California: U.S. Geological Survey, Bulletin 1708-D, scale 1:24,000.",21856,"Mineral resources of the Golden Valley Wilderness Study Area, San Bernardino County, California",1985,24000,35.5,35.35,-117.417,-117.583,Bulletin 1708-D,"Diggles, M.F.; Tucker, R.E.; Clemens, D.E.; Gaps, R.S."
4764,21861,1,yes,USGS_B-1711-A_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21861.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21861.htm,"Smith, D.B., Berger, B.R., Tosdal, R.M., Sherrod, D.R., Raines, G.L., Griscom, Andrew, Helferty, M.G., Rumsey, C.M., and McMahan, A.B., 1987, Mineral resources of the Indian Pass and Picacho Peak Wilderness Study Areas, Imperial County, California: U.S. Geological Survey, Bulletin 1711-A, scale 1:24,000.",21861,"Mineral resources of the Indian Pass and Picacho Peak Wilderness Study Areas, Imperial County, California",1987,24000,33.139,32.983,-114.7,-114.85,Bulletin 1711-A,"Smith, D.B.; Berger, B.R.; Tosdal, R.M.; Sherrod, D.R.; Raines, G.L.; Griscom, Andrew; Helferty, M.G.; Rumsey, C.M.; McMahan, A.B."
4765,313,1,yes,USGS_B-1713-B_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_313.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_313.htm,"Howard, K.A., Nielson, J.E., Simpson, R.W., Hazlett, R.W., Alminas, H.V., Nakata, J.K., and McDonnell, J.R., 1988, Mineral resources of the Turtle Mountains Wilderness Study Area, San Bernardino County, California [GIS data]: U.S. Geological Survey, Bulletin 1713-B, scale 1:48,000.",313,"Mineral resources of the Turtle Mountains Wilderness Study Area, San Bernardino County, California",1988,48000,34.45,34.0833,-114.6667,-115,Bulletin 1713-B,"Howard, K.A.; Nielson, J.E.; Simpson, R.W.; Hazlett, R.W.; Alminas, H.V.; Nakata, J.K.; McDonnell, J.R."
4767,21868,1,yes,USGS_B-1714-A_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21868.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21868.htm,"Soulliere, S.J., Arnold, M.A., Kulik, D.M., and Kreidler, T.J., 1987, Mineral resources of the Bull Canyon Wilderness Study Area, Moffat County, Colorado, and Uintah County, Utah: U.S. Geological Survey, Bulletin 1714-A, scale 1:24,000.",21868,"Mineral resources of the Bull Canyon Wilderness Study Area, Moffat County, Colorado, and Uintah County, Utah",1987,24000,40.375,40.25,-108.917,-109.083,Bulletin 1714-A,"Soulliere, S.J.; Arnold, M.A.; Kulik, D.M.; Kreidler, T.J."
